id	lemma	pure	translit	full_definition
H186	אוּזַי	אוזי	ʼÛwzay	Uzai = "I shall have my sprinklings" 1) a Judean, one of the repairers of Jerusalem's walls exegesis:perhaps by permutation for עֻזִּי H5813 , strong; explanation: Uzai , an Israelite translation:Uzai.
H187	אוּזָל	אוזל	ʼÛwzâl	Uzal = "I shall be flooded" 1) sixth son Joktan exegesis:of uncertain derivation; explanation: Uzal , a son of Joktan translation:Uzal.
H188	אוֹי	אוי	ʼôwy	1) woe! alas! oh! 1a) passionate cry of grief or despair exegesis:probably from אָוָה H183 (in the sense of crying out after); explanation: lamentation ; also interjectionally Oh! translation:alas, woe.
H189	אֱוִי	אוי	ʼĔvîy	Evi = "my desire" 1) one of five chiefs of Midian exegesis:probably from אָוָה H183 ; desirous; explanation: Evi , a Midianitish chief translation:Evi.
H190	אוֹיָה	אויה	ʼôwyâh	1) woe! exegesis:feminine of אוֹי H188 explanation:{ lamentation ; also interjectionally Oh! } translation:woe.
H191	אֱוִיל	אויל	ʼĕvîyl	[G:references: G453,G521,G765,G878,G2233,G3474,G4312,G5337] 1) be foolish, foolish 1a) (subst) 1a1) of one who despises wisdom 1a2) of one who mocks when guilty 1a3) of one who is quarrelsome 1a4) of one who is licentious exegesis:from an unused root (meaning to be perverse); explanation:(figuratively) silly translation:fool(-ish) (man).
H192	אֱוִיל מְרֹדַךְ	אויל מרדך	ʼĔvîyl Mᵉrôdak	Evil Merodach = "man of Merodach" 1) son and successor of Nebuchadnezzar, king of Neo-Babylonian empire, 562-560 BC exegesis:of Aramaic derivation and probably meaning soldier of Merodak; explanation: Evil-Merodak , a Babylonian king translation:Evil-merodach.
H193	אוּל	אול	ʼûwl	1) prominence 1a) body, belly (contemptuous) 1b) nobles, wealthy men exegesis:from an unused root meaning to twist, i.e. (by implication) be strong; explanation: the body (as being rolled together); also powerful translation:mighty, strength.
H194	אוּלַי	אולי	ʼûwlay	[G:references: G2481] 1) perhaps, peradventure 2) if peradventure 3) unless 4) suppose exegesis:or (shortened) אֻלַי H ; from אוֹ H176 ; explanation: if not ; hence perhaps translation:if so be, may be, peradventure, unless.
H195	אוּלַי	אולי	ʼÛwlay	Ulai = "my leaders (mighties)" 1) river of Elam exegesis:of Persian derivation; explanation: the Ulai (or Eulaeus), a river of Persia translation:Ulai.
H196	אֱוִלִי	אולי	ʼĕvilîy	[G:references: G552] 1) foolish exegesis:from אֱוִיל H191 ; explanation: silly , foolish ; hence (morally) impious translation:foolish.
H197	אוּלָם	אולם	ʼûwlâm	[G:references: G3485,G4133] 1) porch 1a) in Solomon's temple 1b) in Solomon's palace 1c) in temple of Ezekiel's vision exegesis:or (shortened), אֻלָם H ; from אָלַם H481 (in the sense of tying); explanation: a vestibule (as bound to the building) translation:porch.
H198	אוּלָם	אולם	ʼÛwlâm	Ulam = "their leader: vestibule" 1) a Manassite 2) a Benjamite of Saul's family exegesis:appar, from אָלַם H481 (in the sense of dumbness); solitary; explanation: Ulam , the name of two Israelites translation:Ulam.
H199	אוּלָם	אולם	ʼûwlâm	1) but, but indeed (a strong adversative) 2) however, nevertheless exegesis:apparently a variation of אוּלַי H194 ; explanation: however or on the contrary translation:as for, but, howbeit, in very deed, surely, truly, wherefore.
H200	אִוֶּלֶת	אולת	ʼivveleth	[G:references: G454,G685,G877,G2556] 1) foolishness, folly exegesis:from the same as אֱוִיל H191 ; explanation: silliness translation:folly, foolishly(-ness).
H201	אוֹמָר	אומר	ʼÔwmâr	Omar = "speaker" or "eloquent" 1) grandson of Esau exegesis:from אָמַר H559 ; talkative; explanation: Omar , a grandson of Esau translation:Omar.
H202	אוֹן	און	ʼôwn	[G:references: G1391,G1411,G2246,G2873,G4172,G5225] 1) vigour, generative power 2) wealth 3) physical strength (of men and behemoth) exegesis:probably from the same as אָוֶן H205 (in the sense of effort, but successful); explanation: ability , power , (figuratively) wealth translation:force, goods, might, strength, substance.
H203	אוֹן	און	ʼÔwn	On = "wealth" or "vigour" 1) a chief of the tribe of Reuben exegesis:the same as אוֹן H202 ; explanation: On , an Israelite translation:On.
H204	אוֹן	און	ʼÔwn	On = "strength or vigour" 1) city in lower Egypt, bordering land of Goshen, centre of sun-worship, residence of Potipherah (priest of On and father-in-law of Joseph) exegesis:or (shortened); אֹן H ; of Egyptian derivation; explanation: On , a city of Egypt translation:On.
H205	אָוֶן	און	ʼâven	[G:references: G94,G458,G459,G765,G824,G878,G1112,G2556,G2756,G2873,G3152,G3154,G3449,G3601,G3997,G4189,G4192,G5225] 1) trouble, wickedness, sorrow 1a) trouble, sorrow 1b) idolatry 1c) trouble of iniquity, wickedness exegesis:from an unused root perhaps meaning properly, to pant (hence, to exert oneself, usually in vain; to come to naught); explanation: strictly nothingness ; also trouble . vanity , wickedness ; specifically an idol translation:affliction, evil, false, idol, iniquity, mischief, mourners(-ing), naught, sorrow, unjust, unrighteous, vain, vanity, wicked(-ness). Compare אַיִן H369 .
H206	אָוֶן	און	ʼÂven	Aven = "vanity" 1) a name used contemptuously for the following places of idolatrous worship 1a) a city in Egypt, possibly On (Eze 30:17) 1b) Bethel with its calf worship (Ho 10:8) 1c) A town or region in Syria (Am 1:5) exegesis:the same as אָוֶן H205 ; idolatry; explanation: Aven , the contemptuous synonym of three places, one in Coele-Syria, one in Egypt (On), and one in Palestine (Bethel) translation:Aven. See also אוֹן H204 , בֵּית אָוֶן H1007 .
H207	אוֹנוֹ	אונו	ʼÔwnôw	Ono = "vigorous" 1) city in Benjamin 2) a valley (of craftsman) exegesis:or (shortened) אֹנוֹ H ; prolonged from אוֹן H202 ; strong; explanation: Ono , a place in Palestine translation:Ono.
H208	אוֹנָם	אונם	ʼÔwnâm	Onam = "vigorous" 1) a Horite chief, grandson of Seir 2) son Jerahmeel, a chief of Judah exegesis:a variation of אוֹנָן H209 ; strong; explanation: Onam , the name of an Edomite and of an Israelite translation:Onam.
H209	אוֹנָן	אונן	ʼÔwnân	Onan = "strong" 1) second son of Judah, slain by God for not fulfilling the levitical requirement to beget a child with the wife of a dead, childless brother exegesis:a variation of אוֹנוֹ H207 ; strong; explanation: Onan , a son of Judah translation:Onan.
H210	אוּפָז	אופז	ʼÛwphâz	Uphaz = "desire of fine gold" 1) a place famous for its gold (site unknown) exegesis:perhaps a corruption of אוֹפִיר H211 ; explanation: Uphaz , a famous gold region translation:Uphaz.
H211	אוֹפִיר	אופיר	ʼÔwphîyr	Ophir = "reducing to ashes" 1) eleventh son of Joktan 2) a land or city in southern Arabia in Solomon's trade route where gold evidently was traded for goods 3) characteristic of fine gold 4) fine gold exegesis:or (shortened) אֹפִיר H ; and אוֹפִר H ; of uncertain derivation; explanation: Ophir , the name of a son of Joktan, and of a gold region in the East translation:Ophir.
H212	אוֹפָן	אופן	ʼôwphân	[G:references: G5164] 1) wheel 1a) chariot wheel 1b) wheel in Ezekiel's vision 1c) wheels of the ten bases beneath the lavers in Solomon's temple exegesis:or (shortened) אֹפָן H ; from an unused root meaning to revolve; explanation: a wheel translation:wheel.
H213	אוּץ	אוץ	ʼûwts	[G:references: G1011,G2729,G2872,G4313,G4704,G4729,G5035,G5036] 1) to press, be pressed, make haste, urge, be narrow 1a) (Qal) 1a1) to press, hasten 1a2) to be pressed, confined, narrow 1a3) to hasten, make haste 1a4) be narrow 1b) (Hiphil) 1b1) to urge, insist 1b2) to hasten exegesis:a primitive root; explanation: to press ; (by implication) to be close , hurry , withdraw translation:(make) haste(-n, -y), labor, be narrow.
H214	אוֹצָר	אוצר	ʼôwtsâr	[G:references: G596,G2344,G4149] 1) treasure, storehouse 1a) treasure (gold, silver, etc) 1b) store, supplies of food or drink 1c) treasure-house, treasury 1c1) treasure-house 1c2) storehouse, magazine 1c3) treasury 1c4) magazine of weapons (fig. of God's armoury) 1c5) storehouses (of God for rain, snow, hail, wind, sea) exegesis:from אָצַר H686 ; explanation: a depository translation:armory, cellar, garner, store(-house), treasure(-house) (-y).
H215	אוֹר	אור	ʼôwr	[G:references: G308,G381,G5316,G5461] 1) to be or become light, shine 1a) (Qal) 1a1) to become light (day) 1a2) to shine (of the sun) 1a3) to become bright 1b) (Niphal) 1b1) to be illuminated 1b2) to become lighted up 1c) (Hiphil) 1c1) to give light, shine (of sun, moon, and stars) 1c2) to illumine, light up, cause to shine, shine 1c3) to kindle, light (candle, wood) 1c4) lighten (of the eyes, his law, etc) 1c5) to make shine (of the face) exegesis:a primitive root; explanation: to be (causative, make) luminous (literally and metaphorically) translation:[idiom] break of day, glorious, kindle, (be, en-, give, show) light (-en, -ened), set on fire, shine.
H216	אוֹר	אור	ʼôwr	[G:references: G808,G1192,G1193,G2246,G2250,G3314,G4983,G5338,G5457,G5462,G5559] 1) light 1a) light of day 1b) light of heavenly luminaries (moon, sun, stars) 1c) day-break, dawn, morning light 1d) daylight 1e) lightning 1f) light of lamp 1g) light of life 1h) light of prosperity 1i) light of instruction 1j) light of face (fig.) 1k) Jehovah as Israel's light exegesis:from אוֹר H215 ; explanation: illumination or (concrete) luminary (in every sense, including lightning, happiness, etc.) translation:bright, clear, [phrase] day, light (-ning), morning, sun.
H217	אוּר	אור	ʼûwr	[G:references: G225,G892,G1212,G2868,G4442,G5561] 1) flame, light of fire exegesis:from אוֹר H215 ; explanation: flame ; hence (in the plural) the East (as being the region of light) translation:fire, light. See also אוּרִים H224 .
H218	אוּר	אור	ʼÛwr	Ur = "flame" 1) city in southern Babylonia, city of the Chaldeans, centre of moon worship, home of Abraham's father, Terah, and departure point for the Abraham's migration to Mesopotamia and Canaan exegesis:the same as אוּר H217 ; explanation: Ur , a place in Chaldaea; also an Israelite translation:Ur.
H219	אוֹרָה	אורה	ʼôwrâh	1) light 2) light of joy and happiness (fig.) exegesis:feminine of אוֹר H216 ; explanation: luminousness , i.e. (figuratively) prosperity ; also a plant (as being bright) translation:herb, light.
H220	אֲוֵרָה	אורה	ʼăvêrâh	1) manger, stall, crib exegesis:by transposition for אֻרְוָה H723 ; explanation: a stall translation:cote.
H221	אוּרִי	אורי	ʼÛwrîy	Uri = "fiery" 1) a prince of Judah, a son of Hur who was used by God to prepare the tabernacle 2) an officer (or the father of an officer) of Solomon in Gilead 3) a porter or gatekeeper in time of Ezra who took a foreign woman as wife exegesis:from אוּר H217 ; fiery; explanation: Uri , the name of three Israelites translation:Uri.
H222	אוּרִיאֵל	אוריאל	ʼÛwrîyʼêl	Uriel = "God (El) is my light" 1) chief of the Levitical line of Kohath in David's time 2) maternal grandfather of Abijah exegesis:from אוּר H217 and אֵל H410 ; flame of God; explanation: Uriel , the name of two Israelites translation:Uriel.
H223	אוּרִיָּה	איריה	ʼÛwrîyâh	[G:references: G3774] Uriah or Urijah = "Jehovah (Yahweh) is my light (flame)" 1) Hittite husband of Bathsheba 2) a priest who built king Ahaz' heathen altar 3) a priest who rebuilt Jerusalem's wall 4) a prophet slain by Jehoiakim exegesis:or (prolonged) אוּרִיָּהוּ H ; from אוּר H217 and יָהּ H3050 ; flame of Jah; explanation: Urijah , the name of one Hittite and five Israelites translation:Uriah, Urijah.
H224	אוּרִים	אורים	ʼÛwrîym	[G:references: G5321,G5461] Urim = "lights" 1) stones kept in a pouch on the high-priest's breastplate, used in determining God's decision in certain questions and issues exegesis:plural of אוּר H217 ; lights; explanation: Urim , the oracular brilliancy of the figures in the high-priest's breastplate translation:Urim.
H225	אוּת	אות	ʼûwth	[G:references: G3666,G4855] 1) (Niphal) to consent, agree exegesis:a primitive root; explanation:properly, to come , i.e. (implied) to assent translation:consent.
H226	אוֹת	אות	ʼôwth	[G:references: G2297,G4592] 1) sign, signal 1a) a distinguishing mark 1b) banner 1c) remembrance 1d) miraculous sign 1e) omen 1f) warning 2) token, ensign, standard, miracle, proof exegesis:probably from אוּת H225 (in the sense of appearing); explanation: a signal (literally or figuratively), as a flag , beacon , monument , omen , prodigy , evidence , etc. translation:mark, miracle, (en-) sign, token.
H227	אָז	אז	ʼâz	[G:references: G3819,G3820] 1) then, at that time 1a) temporal expressions 1a1) then (past) 1a2) then, if...then (future) 1a3) earlier 1b) logical expressions 1b1) in that case 1b2) that (being so) exegesis:a demonstrative adverb; explanation: at that time or place ; also as a conjunction, therefore translation:beginning, for, from, hitherto, now, of old, once, since, then, at which time, yet.
H228	אֲזָא	אזא	ʼăzâʼ	[G:references: G1572,G2545] 1) (P'al) make hot, heat exegesis:(Aramaic) or אֲזָה H (Aramaic); explanation: to kindle ; (by implication) to heat translation:heat, hot.
H229	אֶזְבַּי	אזבי	ʼEzbay	Ezbai = "my humblings" 1) father of one of David's mighty men exegesis:probably from אֵזוֹב H231 ; hyssop-like; explanation: Ezbai , an Israelite translation:Ezbai.
H230	אֲזָד	אזד	ʼăzâd	[G:references: G868] 1) (P'al) to be gone exegesis:(Aramaic) of uncertain derivation; explanation: firm translation:be gone.
H231	אֵזוֹב	אזוב	ʼêzôwb	[G:references: G5301] 1) hyssop, a plant used for medicinal and religious purposes exegesis:probably of foreign derivation; explanation: hyssop translation:hyssop.
H232	אֵזוֹר	אזור	ʼêzôwr	[G:references: G2223] 1) waist-cloth, the innermost piece of clothing 1a) of God's power over kings (fig.) 1b) of faithfulness (metaph) 2) waistband exegesis:from אֲזִקִּים H246 ; explanation: something girt ; a belt , also a band translation:girdle.
H233	אֲזַי	אזי	ʼăzay	1) then, in that case exegesis:probably from אָז H227 ; explanation: at that time translation:then.
H234	אַזְכָּרָה	אזכרה	ʼazkârâh	[G:references: G364] 1) memorial-offering, the portion of the meal (food) offering which is burned exegesis:from זָכַר H2142 ; explanation: a reminder ; specifically remembrance-offering translation:memorial.
H235	אָזַל	אזל	ʼâzal	[G:references: G565,G1525,G1587,G2064,G4198,G5290] 1) to go, to go away, to go about 1a) (Qal) 1a1) to go away 1a2) to go about 1a3) to be used up, be exhausted, be gone, evaporated 1b) (Pual) to go to and fro exegesis:a primitive root; explanation: to go away , hence, to disappear translation:fail, gad about, go to and fro (but in Ezekiel 27:19 the word is rendered by many 'from Uzal,' by others 'yarn'), be gone (spent).
H236	אֲזַל	אזל	ʼăzal	1) to go, to go off 1a) (P'al) to go, go off exegesis:(Aramaic) the same as אָזַל H235 ; explanation: to depart translation:go (up).
H237	אֶזֶל	אזל	ʼezel	Ezel = "departure" 1) a memorial stone between Ramah and Nob; scene of final farewell between David and Jonathan exegesis:from אָזַל H235 ; departure; explanation: Ezel , a memorial stone in Palestine translation:Ezel.
H238	אָזַן	אזן	ʼâzan	[G:references: G191,G1522,G1801,G1873,G4337,G5219] 1) to hear, listen 1a) (Hiphil) 1a1) to hear, listen, give ear 1a2) to be obedient, harken 1a3) to hear or listen to prayers (of God) exegesis:a primitive root; probably to expand; but used only as a denominative from אֹזֶן H241 ; explanation: to broaden out the ear (with the hand), i.e. (by implication) to listen translation:give (perceive by the) ear, hear(-ken). See אָזַן H239 .
H239	אָזַן	אזן	ʼâzan	1) (Piel) weigh, test, prove, consider exegesis:a primitive root (rather identical with אָזַן H238 through the idea of scales as if two ears); explanation: to weigh , i.e. (figuratively) ponder translation:give good heed.
H240	אָזֵן	אזן	ʼâzên	[G:references: G2223] 1) tools, implements, weapons exegesis:from אָזַן H238 ; explanation: a spade or paddle (as having a broad end) translation:weapon.
H241	אֹזֶן	אזן	ʼôzen	[G:references: G3563,G3775,G5621] 1) ear, as part of the body 2) ear, as organ of hearing 3) (subjective) to uncover the ear to reveal; the receiver of divine revelation exegesis:from אָזַן H238 ; explanation: broadness . i.e. (concrete) the ear (from its form in man) translation:[phrase] advertise, audience, [phrase] displease, ear, hearing, [phrase] show.
H242	אֻזֵּן שֶׁאֱרָה	אזן שארה	ʼUzzên Sheʼĕrâh	Uzzen Sherah = "portion of Sherah" 1) city built by Sherah, Ephraim's daughter exegesis:from אָזַן H238 and שֶׁאֱרָה H7609 ; plot of Sheerah (i.e. settled by him); explanation: Uzzen-Sheerah , a place in Palestine translation:Uzzen-sherah.
H243	אַזְנוֹת תָּבוֹר	אזנות תבור	ʼAznôwth Tâbôwr	Aznoth Tabor = "peaks of Tabor" 1) a pair of hills on Naphtali's border exegesis:from אָזַן H238 and תָּבוֹר H8396 ; flats (i.e. tops) of Tabor (i.e. situated on it); explanation: Aznoth-Tabor , a place in Palestine translation:Aznoth-tabor.
H244	אׇזְנִי	אזני	ʼOznîy	Ozni or Oznite = "my ear (hearing)" 1) son of Gad 2) pertaining to Ozni and his descendants exegesis:from אֹזֶן H241 ; having (quick) ears; explanation: Ozni , an Israelite; also an Oznite (collectively), his descendant translation:Ozni, Oznites.
H245	אֲזַנְיָה	אזניה	ʼĂzanyâh	Azaniah = "Jehovah (Yahweh) hears" 1) the father of Jeshua, a Levite exegesis:from אָזַן H238 and יָהּ H3050 ; heard by Jah; explanation: Azanjah , an Israelite translation:Azaniah.
H246	אֲזִקִּים	אזקים	ʼăziqqîym	1) chains, manacles exegesis:a variation for זִיקָה H2131 ; explanation: manacles translation:chains.
H247	אָזַר	אזר	ʼâzar	[G:references: G450,G482,G996,G998,G1765,G1807,G2007,G2224,G2480,G2729,G2729,G4023,G4024,G4982,G5623] 1) gird, encompass, equip, clothe 1a) (Qal) to gird, gird on (metaphorical of strength) 1b) (Niphal) be girded 1c)(Piel) hold close, clasp 1d) (Hiphpael) gird oneself (for war) exegesis:a primitive root; explanation: to belt translation:bind (compass) about, gird (up, with).
H248	אֶזְרוֹעַ	אזרוע	ʼezrôwaʻ	[G:references: G1023] 1) arm exegesis:a variation for זְרוֹעַ H2220 ; explanation: the arm translation:arm.
H249	אֶזְרָח	אזרח	ʼezrâch	1) a native (one rising from the soil) 1a) of man, native Israelites 1b) of tree, native (to Israel) exegesis:from זָרַח H2224 (in the sense of springing up); explanation: a spontaneous growth , i.e. native (tree or persons) translation:bay tree, (home-) born (in the land), of the (one's own) country (nation).
H250	אֶזְרָחִי	אזרחי	ʼEzrâchîy	Ezraite = "a native (as arising out of the soil)" 1) Ezrahite, of the family of Zerach exegesis:patronymic from חֹבָב H2246 ; explanation: an Ezrachite or descendant of Zerach translation:Ezrahite.
H251	אָח	אח	ʼâch	[G:references: G80,G1451,G2087] 1) brother 1a) brother of same parents 1b) half-brother (same father) 1c) relative, kinship, same tribe 1d) each to the other (reciprocal relationship) 1e) (fig.) of resemblance exegesis:a primitive word; explanation: a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance (like father) ) translation:another, brother(-ly); kindred, like, other. Compare also the proper names beginning with 'Ah-' or 'Ahi-'.
H252	אַח	אח	ʼach	1) brother exegesis:(Aramaic) corresponding to אָח H251 explanation:{ a brother (used in the widest sense of literal relationship and metaphorical affinity or resemblance)} translation:brother.
H253	אָח	אח	ʼâch	1) ah!, alas!, woe! exegesis:a variation for אֲהָהּ H162 ; explanation: Oh! (expressive of grief or surprise) translation:ah, alas.
H254	אָח	אח	ʼâch	1) fire-pot, brazier exegesis:of uncertain derivation; explanation: a fire-pot or chafing dish translation:hearth.
H255	אֹחַ	אח	ʼôach	[G:references: G2279] 1) howling animal 1a) jackal 1b) hyena exegesis:probably from אָח H253 ; explanation: a howler or lonesome wild animal translation:doleful creature.
H256	אַחְאָב	אחאב	ʼAchʼâb	Ahab = "father's brother" 1) king of Israel, son of Omri, husband of Jezebel 2) false prophet executed by Nebuchadrezzar, time of Jeremiah exegesis:once (by contraction) אֶחָב H (Jeremiah 29:22); from אָח H251 and אָב H1 ; brother (i.e. friend) of (his) father; explanation: Achab , the name of a king of Israel and of a prophet at Babylon translation:Ahab.
H257	אַחְבָן	אחבן	ʼAchbân	Ahban = "brother of an understanding (intelligent) one" 1) son of Abishur of Judah exegesis:from אָח H251 and בִּין H995 ; brother (i.e. possessor) of understanding; explanation: Achban , an Israelite translation:Ahban.
H258	אָחַד	אחד	ʼâchad	[G:references: G1279] 1) (Hithpael) to go one way or another, to be sharp exegesis:perhaps a primitive root; explanation: to unify , i.e. (figuratively) collect (one's thoughts) translation:go one way or other.
H259	אֶחָד	אחד	ʼechâd	[G:references: G243,G530,G1538,G2087,G2470,G2839,G3561,G3641,G4387] 1) one (number) 1a) one (number) 1b) each, every 1c) a certain 1d) an (indefinite article) 1e) only, once, once for all 1f) one...another, the one...the other, one after another, one by one 1g) first 1h) eleven (in combination), eleventh (ordinal) exegesis:a numeral from אָחַד H258 ; explanation:properly, united , i.e. one ; or (as an ordinal) first translation:a, alike, alone, altogether, and, any(-thing), apiece, a certain, (dai-) ly, each (one), [phrase] eleven, every, few, first, [phrase] highway, a man, once, one, only, other, some, together,
H260	אָחוּ	אחו	ʼâchûw	1) reeds, marsh plants, rushes exegesis:of uncertain (perhaps Egyptian) derivation; explanation: a bulrush or any marshy grass (particularly that along the Nile) translation:flag, meadow.
H261	אֵחוּד	אחוד	ʼÊchûwd	Ehud = "united" 1) great grandson of Benjamin exegesis:from אָחַד H258 ; united; explanation: Echud , the name of three Israelites translation:Ehud.
H262	אַחְוָה	אחוה	ʼachvâh	[G:references: G312] 1) declaration exegesis:from חָוָה H2331 (in the sense of חֲוָא H2324 ); explanation: an utterance translation:declaration.
H263	אַחֲוָה	אחוה	ʼachăvâh	1) declaration, a declaring exegesis:(Aramaic) corresponding to אַחְוָה H262 ; explanation: solution (of riddles) translation:showing.
H264	אַחֲוָה	אחוה	ʼachăvâh	[G:references: G1242] 1) fraternity, brotherhood exegesis:from אָח H251 ; explanation: fraternity translation:brotherhood.
H265	אֲחוֹחַ	אחוח	ʼĂchôwach	Ahoah = "brother of rest" 1) a grandson of Benjamin exegesis:by reduplication from אָח H251 ; brotherly; explanation: Achoach , an Israelite translation:Ahoah.
H266	אֲחוֹחִי	אחוחי	ʼĂchôwchîy	Ahohite = "brother of rest" 1) one of the clan of Ahoah exegesis:patronymic from אַחֲוָה H264 ; explanation: an Achochite or descendant of Achoach translation:Ahohite.
H267	אֲחוּמַי	אחומי	ʼĂchûwmay	Ahumai = "a water reed: brother of waters" 1) grandson of Shobal, descendant of Judah exegesis:perhaps from אָח H251 and מַיִם H4325 ; brother (i.e. neighbour) of water; explanation: Achumai , an Israelite translation:Ahumai.
H268	אָחוֹר	אחור	ʼâchôwr	[G:references: G1424,G1715,G1904,G2087,G2246,G2756,G3693,G3694] 1) the back side, the rear 1a) backwards 1b) hereafter (of time) 1c) behind exegesis:or (shortened) אָחֹר H ; from אֲחִירַע H299 ; explanation: the hinder part ; hence (adverb) behind , backward ; also (as facing north) the West translation:after(-ward), back (part, -side, -ward), hereafter, (be-) hind(-er part), time to come, without.
H269	אָחוֹת	אחות	ʼâchôwth	[G:references: G79,G2087] 1) sister 1a) sister (same parents) 1b) half-sister (same father) 1c) relative 1c1)(metaph) of Israel's and Judah's relationship 1d) beloved 1d1) bride 1e) (fig.) of intimate connection 1f) another exegesis:irregular feminine of אָח H251 ; explanation: a sister (used very widely (like brother), literally and figuratively ) translation:(an-) other, sister, together.
H270	אָחַז	אחז	ʼâchaz	[G:references: G472,G680,G681,G881,G1949,G2064,G2192,G2340,G2624,G2638,G2722,G2816,G2902,G2983,G4084,G4912,G5021,G5274] 1) grasp, take hold, seize, take possession 1a) (Qal) to grasp, take hold of 1b) (Niphal) to be caught, grasped, be settled 1c) (Piel) to enclose, overlay 1d) (Hophal) fastened exegesis:a primitive root; explanation: to seize (often with the accessory idea of holding in possession) translation:[phrase] be affrighted, bar, (catch, lay, take) hold (back), come upon, fasten, handle, portion, (get, have or take) possess(-ion).
H271	אָחָז	אחז	ʼÂchâz	[G:references: G881] Ahaz = "he has grasped" 1) king of Judah, son Jotham, father of Hezekiah 2) a Benjamite, son of Micah, and great grandson of Jonathan exegesis:from אָחַז H270 ; possessor; explanation: Achaz , the name of a Jewish king and of an Israelite translation:Ahaz.
H272	אֲחֻזָּה	אחזה	ʼăchuzzâh	[G:references: G2697,G2817] 1) possession, property 1a) land 1b) possession by inheritance exegesis:feminine passive participle from אָחַז H270 ; explanation: something seized , i.e. a possession (especially of land) translation:possession.
H273	אַחְזַי	אחזי	ʼAchzay	Ahasai = "my holder, protector" 1) a post-exilic priest, in Jerusalem exegesis:from אָחַז H270 ; seizer; explanation: Achzai , an Israelite translation:Ahasai.
H274	אֲחַזְיָה	אחזיה	ʼĂchazyâh	Ahaziah = "Jehovah (Yahu) holds (possesses)" 1) ruler of Israel, son of Ahab 2) ruler of Judah, son of Jehoram (Joram) exegesis:or (prolonged) אֲחַזְיָהוּ H ; from אָחַז H270 and יָהּ H3050 ; Jah has seized; explanation: Achazjah , the name of a Jewish and an Israelite king translation:Ahaziah.
H275	אֲחֻזָּם	אחזם	ʼĂchuzzâm	Ahuzam = "possessor" 1) a descendant of Judah through Caleb exegesis:from אָחַז H270 ; seizure; explanation: Achuzzam , an Israelite translation:Ahuzam.
H276	אֲחֻזַּת	אחזת	ʼĂchuzzath	Ahuzzath = "possession" 1) friend of Abimelech exegesis:a variation of אֲחֻזָּה H272 ; possession; explanation: Achuzzath , a Philistine translation:Ahuzzath.
H277	אֲחִי	אחי	ʼĂchîy	Ahi = "my brother" 1) a head of the families of Gad 2) an Asherite exegesis:from אָח H251 ; brotherly; explanation: Achi , the name of two Israelites translation:Ahi.
H278	אֵחִי	אחי	ʼÊchîy	Ehi = "my brother" 1) son of Benjamin exegesis:probably the same as אֲחִי H277 ; explanation: Echi , an Israelite translation:Ehi.
H279	אֲחִיאָם	אחיאם	ʼĂchîyʼâm	Ahiam = "mother's brother" 1) one of David's warriors (heroes) exegesis:from אָח H251 and אֵם H517 ; brother of the mother (i.e. uncle); explanation: Achiam , an Israelite translation:Ahiam.
H280	אֲחִידָה	אחידה	ʼăchîydâh	[G:references: G2902] 1) puzzle, riddle exegesis:(Aramaic) corresponding to חִידָה H2420 , explanation: an enigma translation:hard sentence.
H281	אֲחִיָּה	אחיה	ʼĂchîyâh	Ahiah or Ahijah = "brother of Jehovah (Yahu)" 1) grandson of Phinehas 2) scribe of Solomon 3) a prophet who predicted the revolt of the Northern tribes 4) father of Baasha, who usurped the Northern throne 5) grandson of Hezron (or mother of 1-4 above) 6) a Benjamite, son of Ehud 7) one of David's heroes 8) a Levite during David's time 9) a chief man under Nehemiah exegesis:or (prolonged) אֲחִיָּהוּ H ; from אָח H251 and יָהּ H3050 ; brother (i.e. worshipper) of Jah; explanation: Achijah , the name of nine Israelites translation:Ahiah, Ahijah.
H282	אֲחִיהוּד	אחיהוד	ʼĂchîyhûwd	Ahihud = "brother of majesty" 1) a prince of Asher exegesis:from אָח H251 and הוֹד H1935 ; brother (i.e. possessor) of renown; explanation: Achihud , an Israelite translation:Ahihud.
H283	אַחְיוֹ	אחיו	ʼAchyôw	[G:references: G2470] Ahio = "brotherly" or "fraternal" 1) son of Abinadab who sheltered the ark 2) a Benjamite 3) another Benjamite of Saul's ancestry exegesis:prolonged from אָח H251 ; brotherly; explanation: Achio , the name of three Israelites translation:Ahio.
H284	אֲחִיחֻד	אחיחד	ʼĂchîychud	Ahihud = "brother of mystery" 1) a Benjamite, son of Ehud exegesis:from אָח H251 and חוּד H2330 ; brother of a riddle (i.e. mysterious); explanation: Achichud , an Israelite translation:Ahihud.
H285	אֲחִיטוּב	אחיטוב	ʼĂchîyṭûwb	Ahitub = "my brother is good (goodness)" 1) a grandson of Eli 2) the father of Zadok the priest exegesis:from אָח H251 and טוּב H2898 ; brother of goodness; explanation: Achitub , the name of several priests translation:Ahitub.
H286	אֲחִילוּד	אחילוד	ʼĂchîylûwd	Ahilud = "child's brother" 1) father of Jehoshaphat, David's recorder 2) father of Baana, an officer of Solomon exegesis:from אָח H251 and יָלַד H3205 ; brother of one born; explanation: Achilud , an Israelite translation:Ahilud.
