id	unicode_word	translit	pronunciation	full_definition
G00047	ἁγνεία	hagneía	hag-ni'-ah	47 from ; cleanliness (the quality), i.e. (specially) chastity :--purity.
G00048	ἁγνίζω	hagnízō	hag-nid'-zo	48 from ; to make clean, i.e. (figuratively) sanctify (ceremonially or morally) :--purify (self).
G00049	ἁγνισμός	hagnismós	hag-nis-mos'	49 from ; a cleansing (the act), i.e. (ceremonially) lustration :--purification.
G00050	ἀγνοέω	agnoéō	ag-no-eh'-o	50 from (as a negative particle) and ; not to know (through lack of information or intelligence); by implication, to ignore (through disinclination) :--(be) ignorant(-ly), not know, not understand, unknown.
G00051	ἀγνόημα	agnóēma	ag-no'-ay-mah	51 from ; a thing ignored, i.e. shortcoming :--error.
G00052	ἄγνοια	ágnoia	ag'-noy-ah	52 from ; ignorance (properly, the quality) :--ignorance.
G00053	ἁγνός	hagnós	hag-nos'	53 from the same as ; properly, clean, i.e. (figuratively) innocent, modest, perfect :--chaste, clean, pure.
G00054	ἁγνότης	hagnótēs	hag-not'-ace	54 from ; cleanness (the state), i.e. (figuratively) blamelessness :--pureness.
G00055	ἁγνῶς	hagnōs	hag-noce'	55 adverb from ; purely, i.e. honestly :--sincerely.
G00056	ἀγνωσία	agnōsía	ag-no-see'-ah	56 from (as negative particle) and ; ignorance (properly, the state) :--ignorance, not the knowledge.
G00057	ἄγνωστος	ágnōstos	ag'-noce-tos'	57 from (as negative particle) and ; unknown :--unknown.
G00058	ἀγορά	agorá	ag-or-ah'	58 from (to gather; probably akin to ); properly, the town-square (as a place of public resort); by implication, a market or thoroughfare :--market(-place), street.
G00059	ἀγοράζω	agorázō	ag-or-ad'-zo	59 from ; properly, to go to market, i.e. (by implication) to purchase; specially, to redeem :--buy, redeem.
G00060	ἀγοραῖος	agoraîos	ag-or-ah'-yos	60 from ; relating to the market-place, i.e. forensic (times); by implication, vulgar :--baser sort, low.
G00061	ἄγρα	ágra	ag'-rah	61 from ; (abstractly) a catching (of fish); also (concretely) a haul (of fish) :--draught.
G00062	ἀγράμματος	agrámmatos	ag-ram-mat-os	62 from (as negative particle) and ; unlettered, i.e. illiterate :--unlearned.
G00063	ἀγραυλέω	agrauléō	ag-row-leh'-o	63 from and (in the sense of ); to camp out :--abide in the field.
G00064	ἀγρεύω	agreúō	ag-rew'-o	64 from ; to hunt, i.e. (figuratively) to entrap :--catch.
G00065	ἀγριέλαιος	agriélaios	ag-ree-el'-ah-yos	65 from and ; an oleaster :--olive tree (which is) wild.
G00066	ἄγριος	ágrios	ag'-ree-os	66 from ; wild (as pertaining to the country), literally (natural) or figuratively (fierce) :--wild, raging.
G00067	Ἀγρίππας	Agríppas	ag-rip'-pas	67 apparently from and ; wild-horse tamer; Agrippas, one of the Herods :--Agrippa.
G00068	ἀγρός	agrós	ag-ros'	68 from ; a field (as a drive for cattle); genitive case, the country; specially, a farm, i.e. hamlet :--country, farm, piece of ground, land.
G00069	ἀγρυπνέω	agrypnéō	ag-roop-neh'-o	69 ultimately from (as negative particle) and ; to be sleepless, i.e. keep awake :--watch.
G00070	ἀγρυπνία	agrypnía	ag-roop-nee'-ah	70 from ; sleeplessness, i.e. a keeping awake :--watch.
G00071	ἄγω	ágō	ag'-o	71 a primary verb; properly, to lead; by implication, to bring, drive, (reflexively) go, (specially) pass (time), or (figuratively) induce :--be, bring (forth), carry, (let) go, keep, lead away, be open.
G00072	ἀγωγή	agōgḗ	ag-o-gay'	72 reduplicated from ; a bringing up, i.e. mode of living :--manner of life.
G00073	ἀγών	agṓn	ag-one'	73 from ; properly, a place of assembly (as if led), i.e. (by implication) a contest (held there); figuratively, an effort or anxiety :--conflict, contention, fight, race.
G00074	ἀγωνία	agōnía	ag-o-nee'-ah	74 from ; a struggle (properly, the state), i.e. (figuratively) anguish :--agony.
G00075	ἀγωνίζομαι	agōnízomai	ag-o-nid'-zom-ahee	75 from ; to struggle, literally (to compete for a prize), figuratively (to contend with an adversary), or genitive case (to endeavor to accomplish something) :--fight, labor fervently, strive.
G00076	Ἀδάμ	Adám	ad-am'	76 of Hebrew origin ( ); Adam, the first man; typically (of Jesus) man (as his representative) :--Adam.
G00077	ἀδάπανος	adápanos	ad-ap'-an-os	77 from (as negative particle); and ; costless, i.e. gratuitous :--without expense.
G00078	Ἀδδί	Addí	ad-dee'	78 probably of Hebrew origin (compare ); Addi, an Israelite :--Addi.
G00079	ἀδελφή	adelphḗ	ad-el-fay'	79 feminine of ; a sister (naturally or ecclesiastically) :--sister.
G00080	ἀδελφός	adelphós	ad-el-fos'	80 from (as a connective particle) and (the womb); a brother (literally or figuratively) near or remote (much like ) :--brother.
G00081	ἀδελφότης	adelphótēs	ad-el-fot'-ace	81 from ; brotherhood (properly, the feeling of brotherliness), i.e. the (Christian) fraternity :--brethren, brotherhood.
G00082	ἄδηλος	ádēlos	ad'-ay-los	82 from (as a negative particle) and ; hidden, figuratively, indistinct :--appear not, uncertain.
G00083	ἀδηλότης	adēlótēs	ad-ay-lot'-ace	83 from ; uncertainty :--X uncertain.
G00084	ἀδήλως	adḗlōs	ad-ay'-loce	84 adverb from ; uncertainly :--uncertainly.
G00085	ἀδημονέω	adēmonéō	ad-ay-mon-eh'-o	85 from a derivative of (to be sated to loathing); to be in distress (of mind) :--be full of heaviness, be very heavy.
G00086	ᾅδης	háidēs	hah'-dace	86 from (as negative particle) and ; properly, unseen, i.e. "Hades" or the place (state) of departed souls :--grave, hell.
G00087	ἀδιάκριτος	adiákritos	ad-ee-ak'-ree-tos	87 from (as a negative particle) and a derivative of ; properly, undistinguished, i.e. (actively) impartial :--without partiality.
G00088	ἀδιάλειπτος	adiáleiptos	ad-ee-al'-ipe-tos	88 from (as a negative particle) and a derivative of a compound of and ; unintermitted, i.e. permanent :--without ceasing, continual.
G00089	ἀδιαλείπτως	adialeíptōs	ad-ee-al-ipe'-toce	89 adverb from ; uninterruptedly, i.e. without omission (on an appropriate occasion) :--without ceasing.
G00090	ἀδιαφθορία	adiaphthoría	ad-ee-af-thor-ee'-ah	90 from a derivative of a compound of (as a negative particle) and a derivative of ; incorruptibleness, i.e. (figuratively) purity (of doctrine) :--uncorruptness.
G00091	ἀδικέω	adikéō	ad-ee-keh'-o	91 from ; to be unjust, i.e. (actively) do wrong (morally, socially or physically) :--hurt, injure, be an offender, be unjust, (do, suffer, take) wrong.
G00092	ἀδίκημα	adíkēma	ad-eek'-ay-mah	92 from ; a wrong done :--evil doing, iniquity, matter of wrong.
G00093	ἀδικία	adikía	ad-ee-kee'-ah	93 from ; (legal) injustice (properly, the quality, by implication, the act); morally, wrongfulness (of character, life or act) :--iniquity, unjust, unrighteousness, wrong.
G00094	ἄδικος	ádikos	ad'-ee-kos	94 from (as a negative particle) and ; unjust; by extension wicked; by implication, treacherous; specially, heathen :--unjust, unrighteous.
G00095	ἀδίκως	adíkōs	ad-ee'-koce	95 adverb from ; unjustly :--wrongfully.
G00096	ἀδόκιμος	adókimos	ad-ok'-ee-mos	96 from (as a negative particle) and ; unapproved, i.e. rejected; by implication, worthless (literally or morally) :--castaway, rejected, reprobate.
G00097	ἄδολος	ádolos	ad'-ol-os	97 from (as a negative particle); and ; undeceitful, i.e. (figuratively) unadulterated :--sincere.
G00098	Ἀδραμυττηνός	Adramyttēnós	ad-ram-oot-tay-nos'	98 from (a place in Asia Minor); Adramyttene or belonging to Adramyttium :--of Adramyttium.
G00099	Ἀδρίας	Adrías	ad-ree'-as	99 from (a place near its shore); the Adriatic sea (including the Ionian) :--Adria.
G00100	ἁδρότης	hadrótēs	had-rot'-ace	100 from (stout); plumpness, i.e. (figuratively) liberality :--abundance.
G00101	ἀδυνατέω	adynatéō	ad-oo-nat-eh'-o	101 from ; to be unable, i.e. (passively) impossible :--be impossible.
G00102	ἀδύνατος	adýnatos	ad-oo'-nat-os	102 from (as a negative particle) and ; unable, i.e. weak (literally or figuratively); passively, impossible :--could not do, impossible, impotent, not possible, weak.
G00103	ᾄδω	áidō	ad'-o	103 a primary verb; to sing :--sing.
G00104	ἀεί	aeí	ah-eye'	104 from an obsolete primary noun (apparently meaning continued duration); "ever," by qualification regularly; by implication, earnestly :--always, ever.
G00105	ἀετός	aetós	ah-et-os'	105 from the same as ; an eagle (from its wind-like flight) :--eagle.
G00106	ἄζυμος	ázymos	ad'-zoo-mos	106 from (as a negative particle) and ; unleavened, i.e. (figuratively) uncorrupted; (in the neutral plural) specially (by implication) the Passover week :--unleavened (bread).
G00107	Ἀζώρ	Azṓr	ad-zore'	107 of Hebrew origin (compare ); Azor, an Israelite :--Azorigin
G00108	Ἄζωτος	Ázōtos	ad'-zo-tos	108 of Hebrew origin ( ); Azotus (i.e. Ashdod), a place in Palestine :--Azotus.
G00109	ἀήρ	aḗr	ah-ayr'	109 from (to breathe unconsciously, i.e. respire; by analogy, to blow); "air" (as naturally circumambient) :--air. Compare .
G00110	ἀθανασία	athanasía	ath-an-as-ee'-ah	110 from a compound of (as a negative particle) and ; deathlessness :--immortality.
G00111	ἀθέμιτος	athémitos	ath-em'-ee-tos	111 from (as a negative particle) and a derivative of (statute; from the base of ); illegal; by implication, flagitious :--abominable, unlawful thing.
G00112	ἄθεος	átheos	ath'-eh-os	112 from (as a negative particle) and ; godless :--without God.
G00113	ἄθεσμος	áthesmos	ath'-es-mos	113 from (as a negative particle) and a derivative of (in the sense of enacting); lawless, i.e. (by implication) criminal :--wicked.
G00114	ἀθετέω	athetéō	ath-et-eh'-o	114 from a compound of (as a negative particle) and a derivative of ; to set aside, i.e. (by implication) to disesteem, neutralize or violate :--cast off, despise, disannul, frustrate, bring to nought, reject.
G00115	ἀθέτησις	athétēsis	ath-et'-ay-sis	115 from ; cancellation (literally or figuratively) :--disannulling, put away.
G00116	Ἀθῆναι	Athēnai	ath-ay-nahee	116 plural of (the goddess of wisdom, who was reputed to have founded the city); Athenæ, the capitol of Greece :-- Athens.
G00117	Ἀθηναῖος	Athēnaîos	ath-ay-nah'-yos	117 from ; an Athenæan or inhabitant of Athenæ :--Athenian.
G00118	ἀθλέω	athléō	ath-leh'-o	118 from (a contest in the public lists); to contend in the competitive games :--strive.
G00119	ἄθλησις	áthlēsis	ath'-lay-sis	119 from ; a struggle (figuratively) :--fight.
G00120	ἀθυμέω	athyméō	ath-oo-meh'-o	120 from a compound of (as a negative particle) and ; to be spiritless, i.e. disheartened :--be dismayed.
G00121	ἄθωος	áthōos	ath'-o-os	121 from (as a negative particle) and probably a derivative of (meaning a penalty); not guilty :--innocent.
G00122	αἴγειος	aígeios	ah'-ee-ghi-os	122 from (a goat); belonging to a goat :--goat.
G00123	αἰγιαλός	aigialós	ahee-ghee-al-os'	123 from (to rush) and (in the sense of the sea; a beach (on which the waves dash) :--shore.
G00124	Αἰγύπτιος	Aigýptios	ahee-goop'-tee-os	124 from ; an Ægyptian or inhabitant of Ægyptus :--Egyptian.
G00125	Αἴγυπτος	Aígyptos	ah'-ee-goop-tos	125 of uncertain derivation; Ægyptus, the land of the Nile :--Egypt.
G00126	ἀΐδιος	aḯdios	ah-id'-ee-os	126 from ; everduring (forward and backward, or forward only) :--eternal, everlasting.
G00127	αἰδώς	aidṓs	ahee-doce'	127 perhaps from (as a negative particle) and (through the idea of downcast eyes); bashfulness, i.e. (towards men), modesty or (towards God) awe :--reverence, shamefacedness.
G00128	Αἰθίοψ	Aithíops	ahee-thee'-ops	128 from (to scorch) and (the face, from ); an Æthiopian (as a blackamoor) :--Ethiopian.
G00129	αἷμα	haîma	hah'-ee-mah	129 of uncertain derivation; blood, literally (of men or animals), figuratively (the juice of grapes) or specially (the atoning blood of Christ); by implication, bloodshed, also kindred :--blood.
G00130	αἱματεκχυσία	haimatekchysía	hahee-mat-ek-khoo-see'-ah	130 from and a derivative of ; an effusion of blood :--shedding of blood.
G00131	αἱμοῤῥέω	haimorrhéō	hahee-mor-hreh'-o	131 from and ; to flow blood, i.e. have a hæmorrhage :--diseased with an issue of blood.
G00132	Αἰνέας	Ainéas	ahee-neh'-as	132 of uncertain derivation; Ænĕas, an Israelite :--Æneas.
G00133	αἴνεσις	aínesis	ah'-ee-nes-is	133 from ; a praising (the act), i.e. (specially) a thank(-offering) :--praise.
G00134	αἰνέω	ainéō	ahee-neh'-o	134 from ; to praise (God) :--praise.
G00135	αἴνιγμα	aínigma	ah'-ee-nig-ma	135 from a derivative of (in its primary sense); an obscure saying ("enigma"), i.e. (abstractly) obscureness :--X darkly.
G00136	αἶνος	aînos	ah'-ee-nos	136 apparently a prime word; properly, a story, but used in the sense of ; praise (of God) :--praise.
G00137	Αἰνών	Ainṓn	ahee-nohn'	137 of Hebrew origin (a derivative of , place of springs); Ænon, a place in Palestine :--Ænon.
G00138	αἱρέομαι	hairéomai	hahee-reh'-om-ahee	138 probably akin to ; to take for oneself, i.e. to prefer :--choose. Some of the forms are borrowed from a cognate ; which is otherwise obsolete.
